"filename", "language", "TypeScript", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\containers\default-layout\default-layout.component.spec.ts", "TypeScript", 87, 0, 0, 0, 1, 5, 93
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\containers\default-layout\default-layout.component.ts", "TypeScript", 355, 0, 0, 0, 64, 20, 439
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\containers\default-layout\index.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\containers\index.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\directives\directive.module.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\directives\index.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\directives\scrollpy.directive.ts", "TypeScript", 31, 0, 0, 0, 0, 4, 35
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\alert.interface.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\containment-action.interface.ts", "TypeScript", 42, 0, 0, 0, 0, 5, 47
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\failure-escape.interface.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 11
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\file.interface.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\follow-up.interface.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\history.interface.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\ia.interface.ts", "TypeScript", 15, 0, 0, 0, 0, 1, 16
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\index.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 21
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\initial.model.ts", "TypeScript", 150, 0, 0, 0, 1, 7, 158
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\load.interface.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\member.interface.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\minute.interface.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\pagination.interface.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\parameter.interface.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\props.interface.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\report.interface.ts", "TypeScript", 99, 0, 0, 0, 2, 11, 112
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\response.interface.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\score.model.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\status.interface.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 22
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\summary.interface.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\interfaces\user.interface.ts", "TypeScript", 15, 0, 0, 0, 0, 1, 16
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin-routing.module.ts", "TypeScript", 29, 0, 0, 0, 0, 3, 32
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin-user-manage\admin-user-manage.component.html", "HTML", 0, 60, 0, 0, 0, 1, 61
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin-user-manage\admin-user-manage.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin-user-manage\admin-user-manage.component.ts", "TypeScript", 148, 0, 0, 0, 9, 13, 170
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin-user-manage\modal\admin-user-modal.component.html", "HTML", 0, 57, 0, 0, 0, 1, 58
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin-user-manage\modal\admin-user-modal.component.ts", "TypeScript", 85, 0, 0, 0, 1, 6, 92
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin.component.html", "HTML", 0, 3, 0, 0, 0, 1, 4
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin.component.ts", "TypeScript", 10, 0, 0, 0, 2, 2, 14
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\admin\admin.module.ts", "TypeScript", 33, 0, 0, 0, 4, 2, 39
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\containment\action\containment.action.html", "HTML", 0, 215, 0, 0, 0, 1, 216
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\containment\action\containment.action.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\containment\action\containment.action.ts", "TypeScript", 359, 0, 0, 0, 8, 20, 387
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\containment\containment-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 3, 20
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\containment\containment.module.ts", "TypeScript", 40, 0, 0, 0, 4, 2, 46
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\corrective\action\corrective.action.html", "HTML", 0, 215, 0, 0, 0, 1, 216
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\corrective\action\corrective.action.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\corrective\action\corrective.action.ts", "TypeScript", 360, 0, 0, 0, 8, 20, 388
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\corrective\corrective-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 3, 20
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\corrective\corrective.module.ts", "TypeScript", 40, 0, 0, 0, 4, 2, 46
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\creating\creating-routing.module.ts", "TypeScript", 24, 0, 0, 0, 0, 3, 27
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\creating\creating.component.html", "HTML", 0, 6, 0, 0, 0, 1, 7
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\creating\creating.component.ts", "TypeScript", 51, 0, 0, 0, 0, 6, 57
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\creating\creating.module.ts", "TypeScript", 41, 0, 0, 0, 4, 2, 47
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\dashboard\dashboard-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 4, 21
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\dashboard\dashboard.component.html", "HTML", 0, 110, 0, 0, 0, 1, 111
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\dashboard\dashboard.component.ts", "TypeScript", 133, 0, 0, 0, 11, 13, 157
